id,page,page_key,category,viewport,severity,fix_type,issue,suggested_fix,net_url,com_url,com_status,net_height,com_height,height_delta_pct,visual_diff_pct,text_overlap_pct,net_screenshot,com_screenshot,status,owner,decision
artists-benga-mavinga-desktop,Benga Mavinga,artists-benga-mavinga,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/benga-mavinga,https://preview.newafro.com/artists/benga-mavinga/,404,1933,1168,-39.6,24.7,7.6,../newafro-net/screenshots/artists-benga-mavinga-desktop.jpg,com-screenshots/artists-benga-mavinga-desktop.jpg,Open,,
artists-benga-mavinga-mobile,Benga Mavinga,artists-benga-mavinga,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/benga-mavinga,https://preview.newafro.com/artists/benga-mavinga/,404,2379,1520,-36.1,22.6,7.6,../newafro-net/screenshots/artists-benga-mavinga-mobile.jpg,com-screenshots/artists-benga-mavinga-mobile.jpg,Open,,
artists-benjamin-abana-desktop,Benjamin Abana,artists-benjamin-abana,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/benjamin-abana,https://preview.newafro.com/artists/benjamin-abana/,404,1933,1168,-39.6,23.2,9.4,../newafro-net/screenshots/artists-benjamin-abana-desktop.jpg,com-screenshots/artists-benjamin-abana-desktop.jpg,Open,,
artists-benjamin-abana-mobile,Benjamin Abana,artists-benjamin-abana,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/benjamin-abana,https://preview.newafro.com/artists/benjamin-abana/,404,2379,1520,-36.1,22.9,9.4,../newafro-net/screenshots/artists-benjamin-abana-mobile.jpg,com-screenshots/artists-benjamin-abana-mobile.jpg,Open,,
artists-chelsea-odufu-desktop,Chelsea Odufu,artists-chelsea-odufu,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/chelsea-odufu,https://preview.newafro.com/artists/chelsea-odufu/,404,1933,1168,-39.6,16.2,20.9,../newafro-net/screenshots/artists-chelsea-odufu-desktop.jpg,com-screenshots/artists-chelsea-odufu-desktop.jpg,Open,,
artists-chelsea-odufu-mobile,Chelsea Odufu,artists-chelsea-odufu,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/chelsea-odufu,https://preview.newafro.com/artists/chelsea-odufu/,404,2379,1520,-36.1,18.3,20.9,../newafro-net/screenshots/artists-chelsea-odufu-mobile.jpg,com-screenshots/artists-chelsea-odufu-mobile.jpg,Open,,
artists-cheria-essieke-bayer-desktop,Cheria Essieke Bayer,artists-cheria-essieke-bayer,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/cheria-essieke-bayer,https://preview.newafro.com/artists/cheria-essieke-bayer/,404,1933,1168,-39.6,26.1,8.3,../newafro-net/screenshots/artists-cheria-essieke-bayer-desktop.jpg,com-screenshots/artists-cheria-essieke-bayer-desktop.jpg,Open,,
artists-cheria-essieke-bayer-mobile,Cheria Essieke Bayer,artists-cheria-essieke-bayer,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/cheria-essieke-bayer,https://preview.newafro.com/artists/cheria-essieke-bayer/,404,2379,1520,-36.1,23.9,8.3,../newafro-net/screenshots/artists-cheria-essieke-bayer-mobile.jpg,com-screenshots/artists-cheria-essieke-bayer-mobile.jpg,Open,,
artists-chidi-nwaubani-desktop,Chidi Nwaubani,artists-chidi-nwaubani,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/chidi-nwaubani,https://preview.newafro.com/artists/chidi-nwaubani/,404,1933,1168,-39.6,27.8,10.9,../newafro-net/screenshots/artists-chidi-nwaubani-desktop.jpg,com-screenshots/artists-chidi-nwaubani-desktop.jpg,Open,,
artists-chidi-nwaubani-mobile,Chidi Nwaubani,artists-chidi-nwaubani,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/chidi-nwaubani,https://preview.newafro.com/artists/chidi-nwaubani/,404,2379,1520,-36.1,26.3,10.9,../newafro-net/screenshots/artists-chidi-nwaubani-mobile.jpg,com-screenshots/artists-chidi-nwaubani-mobile.jpg,Open,,
artists-evenlyn-desktop,Evenlyn,artists-evenlyn,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/evenlyn,https://preview.newafro.com/artists/evenlyn/,404,1933,1168,-39.6,23.7,10.6,../newafro-net/screenshots/artists-evenlyn-desktop.jpg,com-screenshots/artists-evenlyn-desktop.jpg,Open,,
artists-evenlyn-mobile,Evenlyn,artists-evenlyn,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/evenlyn,https://preview.newafro.com/artists/evenlyn/,404,2379,1520,-36.1,24.4,10.6,../newafro-net/screenshots/artists-evenlyn-mobile.jpg,com-screenshots/artists-evenlyn-mobile.jpg,Open,,
artists-francel-aris-dagbeto-desktop,Francel Aris Dagbeto,artists-francel-aris-dagbeto,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/francel-aris-dagbeto,https://preview.newafro.com/artists/francel-aris-dagbeto/,404,1933,1168,-39.6,22.4,9.7,../newafro-net/screenshots/artists-francel-aris-dagbeto-desktop.jpg,com-screenshots/artists-francel-aris-dagbeto-desktop.jpg,Open,,
artists-francel-aris-dagbeto-mobile,Francel Aris Dagbeto,artists-francel-aris-dagbeto,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/francel-aris-dagbeto,https://preview.newafro.com/artists/francel-aris-dagbeto/,404,2379,1520,-36.1,28.4,9.7,../newafro-net/screenshots/artists-francel-aris-dagbeto-mobile.jpg,com-screenshots/artists-francel-aris-dagbeto-mobile.jpg,Open,,
artists-ibaaku-desktop,Ibaaku,artists-ibaaku,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/ibaaku,https://preview.newafro.com/artists/ibaaku/,404,1933,1168,-39.6,25.8,8.3,../newafro-net/screenshots/artists-ibaaku-desktop.jpg,com-screenshots/artists-ibaaku-desktop.jpg,Open,,
artists-ibaaku-mobile,Ibaaku,artists-ibaaku,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/ibaaku,https://preview.newafro.com/artists/ibaaku/,404,2379,1520,-36.1,23.9,8.3,../newafro-net/screenshots/artists-ibaaku-mobile.jpg,com-screenshots/artists-ibaaku-mobile.jpg,Open,,
artists-jean-baptiste-joire-desktop,Jean Baptiste Joire,artists-jean-baptiste-joire,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/jean-baptiste-joire,https://preview.newafro.com/artists/jean-baptiste-joire/,404,1933,1168,-39.6,24.8,8.5,../newafro-net/screenshots/artists-jean-baptiste-joire-desktop.jpg,com-screenshots/artists-jean-baptiste-joire-desktop.jpg,Open,,
artists-jean-baptiste-joire-mobile,Jean Baptiste Joire,artists-jean-baptiste-joire,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/jean-baptiste-joire,https://preview.newafro.com/artists/jean-baptiste-joire/,404,2379,1520,-36.1,25.3,8.5,../newafro-net/screenshots/artists-jean-baptiste-joire-mobile.jpg,com-screenshots/artists-jean-baptiste-joire-mobile.jpg,Open,,
